Coldplay - Viva La Vida.wav
Creedence Clearwater Revival - Looking Out my Back Door.wav
Brad Paisley - We Danced.wav
Sam Smith - How do you sleep.wav
The Four Seasons - Spring - Allegro.wav
Roxette - It Must Have Been Love.wav
Firehouse - Love of A Lifetime.wav
Frank Sinatra - I've got you under my skin.wav
Pink - You and Your Hand.wav
Rihanna - Rude Boy.wav
Brenda Lee - Sweet's Nothing.wav
Chicago - I Don't Wanna Live Without Your Love.wav
Ice Cube - A Bird in The Hand.wav
Alexia - Summer is Crazy.wav
Billie Eilish - Bad Guy.wav
